Code,OriginStation,KJ1,KJ2,KJ3,KJ4,KJ5,KJ6,KJ7,KJ8,KJ9,KJ10,KJ11,KJ12,KJ13,KJ14,KJ15,KJ16,KJ17,KJ18,KJ19,KJ20,KJ21,KJ22,KJ23,KJ24,KJ25,KJ26,KJ27,KJ28,KJ29,KJ30,KJ31,KJ32,KJ33,KJ34,KJ35,KJ36,KJ37,AG18,AG17,AG16,AG15,AG14,AG13,AG12,AG11;SP11,AG10;SP10,AG9;SP9,AG8;SP8,AG7;SP7,AG6;SP6,AG5;SP5,AG4;SP4,AG3S;SP3,AG2;SP2,AG1;SP1,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20,SP21,SP22,SP24,SP25,SP26,SP27,SP28,SP29,SP31,MR1,MR2,MR3,MR4,MR5,MR6,MR7,MR8,MR9,MR10,MR11,BRT1,BRT2,BRT3,BRT4,BRT5,BRT6,BRT7,KG04,KG05,KG06,KG07,KG08,KG09,KG10,KG12,KG13,KG14,KG15,KG16,KG17,KG18A,KG20,KG21,KG22,KG23,KG24,KG25,KG26,KG27,KG28,KG29,KG30,KG31,KG33,KG34,KG35,PY01,PY03,PY04,PY05,PY06,PY07,PY08,PY09,PY10,PY11,PY12,PY13,PY14,PY15,PY16,PY17,PY18,PY19,PY20,PY21,PY22,PY23,PY24,PY27,PY28,PY29,PY31,PY32,PY33,PY34,PY36,PY37,PY38,PY39,PY40,PY41,SA1,SA2,SA3,SA5,SA6,SA7,SA9,SA10,SA12,SA14,SA15,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SA24,SA26
SP24,IOI Puchong,5.50,5.60,5.40,5.20,5.00,4.80,4.70,4.50,4.30,4.20,4.00,3.70,3.40,3.50,3.90,4.10,4.40,4.50,4.60,5.10,5.00,4.80,4.60,5.10,4.90,4.70,4.50,4.70,4.50,4.30,4.30,4.10,3.80,3.60,3.30,2.90,2.50,2.90,3.50,3.40,3.30,3.20,3.10,3.50,3.00,3.20,3.30,3.30,3.40,3.50,2.80,2.90,3.00,3.00,3.10,3.40,3.20,2.90,3.00,2.80,2.50,2.50,2.20,2.00,1.70,1.50,0.80,1.20,1.50,1.70,1.90,2.20,2.50,4.90,4.60,3.80,3.30,3.50,3.80,4.10,4.30,4.10,3.50,3.00,7.90,7.40,6.90,6.20,5.70,5.00,4.30,5.20,5.20,5.60,5.40,5.20,5.40,5.10,4.90,4.60,4.10,3.80,3.50,3.30,3.60,3.40,3.30,3.10,3.50,3.80,4.10,4.40,4.90,4.80,5.10,5.20,5.10,5.50,5.70,5.30,5.20,5.00,5.40,5.10,5.20,5.00,4.80,4.80,4.70,4.50,4.30,4.00,3.8,3.7,3.3,3,3.2,3.5,3.8,3.8,3.6,3.4,3,3.6,3.3,2.8,3.4,3.7,3.8,4.2,4.7,5,4.9,5.1,5.2,5,6.20,6.50,6.40,6.10,5.60,5.30,6.10,6.30,7.20,7.30,7.60,7.60,7.90,7.50,7.80,7.90,7.40,7.50,7.60,7.90
SP25,Pusat Bandar Puchong,5.00,5.20,4.90,4.70,4.50,4.30,4.20,4.00,3.80,3.70,3.50,3.20,2.90,3.20,3.50,3.80,4.00,4.10,4.30,4.80,4.60,4.80,4.70,5.20,5.00,4.80,4.60,4.80,4.60,4.40,4.40,4.20,3.90,3.70,3.40,3.00,2.50,3.00,2.90,2.90,3.50,3.40,3.30,3.10,3.20,3.30,3.40,3.40,2.90,2.90,3.00,3.00,3.10,3.20,3.20,3.00,3.40,3.20,2.90,3.10,2.70,2.60,2.50,2.30,2.10,1.80,1.20,0.80,1.10,1.20,1.60,1.90,2.50,5.00,4.70,3.90,3.40,3.60,3.90,4.20,4.40,4.20,3.60,3.10,8.00,7.50,7.00,6.30,5.80,5.10,4.40,5.40,5.40,5.60,5.40,5.40,5.20,4.90,5.00,4.40,3.90,3.50,3.20,3.40,3.70,3.60,3.50,3.30,3.70,4.00,4.30,4.60,5.10,5.00,5.30,5.40,5.30,5.70,5.80,5.20,5.40,5.20,5.50,5.20,5.40,5.10,4.90,5.00,4.80,4.60,4.40,4.10,3.9,3.8,3.4,3.1,3.3,3.6,3.9,4,3.8,3.6,3.2,3.9,3.6,3.1,3.7,4,4.1,4.5,5,5.3,5.2,5.3,5.4,5.3,6.00,6.30,6.50,6.20,5.70,5.40,6.20,6.40,7.30,7.40,7.70,7.70,8.00,7.60,7.90,8.00,7.50,7.60,7.70,8.00
SP26,Taman Perindustrian Puchong,5.10,5.20,5.00,4.80,4.60,4.40,4.30,4.10,3.90,3.80,3.60,3.30,3.00,3.10,3.50,3.70,4.00,4.10,4.30,4.80,4.70,4.60,4.40,4.90,4.70,4.50,4.30,4.50,4.30,4.10,4.10,3.90,3.60,3.40,3.10,2.60,2.20,3.10,3.00,3.00,2.90,2.80,3.40,3.30,3.40,3.50,2.80,2.90,3.00,3.00,3.10,3.10,3.20,3.30,3.30,3.20,3.00,3.30,3.10,2.90,3.00,2.80,2.50,2.60,2.30,2.00,1.50,1.10,0.80,1.00,1.30,1.70,2.20,4.40,4.10,3.30,2.80,3.00,3.30,3.60,4.00,4.30,3.70,3.20,7.70,7.20,6.70,6.00,5.50,4.80,4.10,5.30,5.20,5.40,5.20,4.90,5.00,4.70,4.50,4.20,3.70,3.40,3.10,2.90,3.20,3.50,3.60,3.40,3.80,4.10,4.40,4.70,5.20,5.00,5.20,5.30,5.40,5.40,5.50,4.90,5.30,5.40,5.50,5.30,5.30,5.10,5.00,4.90,4.90,4.70,4.50,4.20,4,3.9,3.5,3.2,3.4,3.7,4,3.9,3.7,3.5,3.4,3.7,3.4,2.9,3.5,3.8,3.9,4.3,4.8,5.1,5,5.3,5.5,5.1,5.80,6.10,6.20,5.90,5.40,5.10,5.90,6.10,7.00,7.10,7.40,7.40,7.70,7.30,7.60,7.70,7.20,7.30,7.40,7.70
SP27,Bandar Puteri,5.10,5.30,5.00,4.80,4.60,4.40,4.30,4.10,3.90,3.80,3.60,3.30,3.00,3.20,3.60,3.80,4.10,4.20,4.30,4.80,4.70,4.50,4.30,4.80,4.60,4.40,4.20,4.40,4.20,4.00,4.00,3.80,3.50,3.30,3.00,2.50,2.10,3.20,3.10,3.00,3.00,2.90,3.50,3.30,3.40,2.80,2.90,3.00,3.00,3.10,3.10,3.20,3.30,3.30,3.40,3.20,3.10,3.40,3.20,3.00,3.10,2.90,2.60,2.50,2.50,2.20,1.70,1.20,1.00,0.80,1.20,1.60,2.10,4.50,4.20,3.40,2.90,3.10,3.40,3.70,4.10,4.40,3.80,3.30,7.60,7.10,6.60,5.90,5.40,4.70,4.00,5.40,5.30,5.50,5.30,5.00,5.10,4.80,4.60,4.30,3.80,3.50,3.20,3.00,3.30,3.60,3.70,3.50,3.90,4.20,4.50,4.80,5.30,5.10,5.30,5.40,5.50,5.50,5.60,5.00,5.40,5.40,5.60,5.40,5.40,5.20,5.10,5.00,5.00,4.80,4.60,4.30,4.1,4,3.6,3.3,3.5,3.8,4.1,4,3.8,3.6,3.4,3.8,3.5,3,3.6,3.9,4,4.4,4.9,5.2,5.1,5.4,5.6,5.2,5.90,6.20,6.10,5.80,5.30,5.00,5.80,6.00,6.90,7.00,7.30,7.30,7.60,7.20,7.50,7.60,7.10,7.20,7.30,7.60
SP28,Puchong Perdana,5.30,5.40,5.20,5.00,4.80,4.60,4.50,4.30,4.10,4.00,3.80,3.50,3.20,3.30,3.70,3.90,4.00,3.90,3.90,4.40,4.30,4.10,3.90,4.40,4.20,4.00,3.80,4.00,3.80,3.60,3.60,3.40,3.10,2.90,2.50,2.10,1.70,3.30,3.20,3.20,3.10,3.00,2.90,3.50,2.90,3.00,3.00,3.10,3.20,3.20,3.30,3.30,3.40,3.40,3.50,3.40,3.30,3.10,3.40,3.20,2.90,3.20,2.90,2.70,2.50,2.50,1.90,1.60,1.30,1.20,0.80,1.20,1.70,4.60,4.30,3.50,3.00,3.20,3.50,3.80,4.20,4.50,3.90,3.40,7.20,6.70,6.20,5.50,5.00,4.30,3.60,5.10,5.00,5.40,5.20,5.00,5.20,4.90,4.70,4.40,3.90,3.60,3.30,3.10,3.40,3.30,3.10,2.90,3.30,3.60,3.90,4.20,4.70,4.60,4.90,5.00,4.90,5.30,5.50,5.10,5.10,4.90,5.50,5.40,5.20,5.00,5.20,5.10,5.00,4.90,4.70,4.40,4.2,4.1,3.7,3.4,3.6,3.9,3.8,3.7,3.5,3.3,2.9,4,3.7,3.2,3.8,4.1,4.2,4.6,5.1,5.3,5.3,5,5.1,5.2,6.00,6.00,5.70,5.40,4.90,4.60,5.40,5.60,6.50,6.60,6.90,6.90,7.20,6.80,7.10,7.20,6.70,6.80,6.90,7.20
SP29,Puchong Prima,5.40,5.40,5.20,5.00,4.80,4.70,4.60,4.40,4.20,4.10,3.90,3.60,3.30,3.40,3.80,3.90,3.80,3.70,3.70,4.20,4.10,3.90,3.70,4.20,4.00,3.80,3.60,3.80,3.60,3.40,3.40,3.20,2.80,2.60,2.30,1.90,1.50,3.40,3.30,3.30,3.20,3.10,3.00,2.90,3.00,3.10,3.20,3.20,3.30,3.30,3.40,3.40,3.50,3.60,3.60,2.90,3.40,3.30,3.00,3.40,3.10,3.00,3.20,3.00,2.80,2.60,2.20,1.90,1.70,1.60,1.20,0.80,1.50,4.80,4.50,3.70,3.20,3.40,3.70,4.00,4.40,4.60,4.00,3.50,7.00,6.50,6.00,5.30,4.80,4.10,3.40,5.20,5.10,5.50,5.30,5.10,5.30,5.00,4.80,4.50,4.00,3.70,3.40,3.20,3.50,3.40,3.20,3.00,3.40,3.70,4.00,4.30,4.80,4.70,5.00,5.10,5.00,5.40,5.60,5.20,5.20,5.00,5.60,5.50,5.30,5.10,5.30,5.20,5.10,5.00,4.80,4.50,4.3,4.2,3.8,3.5,3.7,4,3.9,3.8,3.6,3.4,3,4.1,3.9,3.4,4,4.3,4.4,4.8,5.2,5.4,5.5,5.1,5.2,5.3,6.10,5.80,5.50,5.20,4.70,4.40,5.20,5.40,6.30,6.40,6.70,6.70,7.00,6.60,6.90,7.00,6.50,6.60,6.70,7.00
SP31,Putra Heights,4.80,4.70,4.50,4.30,4.10,4.00,4.00,3.90,3.80,3.70,3.70,3.60,3.50,3.40,3.30,3.20,3.10,3.00,3.00,3.50,3.40,3.20,3.00,3.50,3.30,3.10,2.90,3.10,2.90,2.70,2.60,2.40,2.10,1.90,1.60,1.20,0.80,3.70,3.60,3.50,3.40,3.40,3.20,3.20,3.20,3.30,3.40,3.40,3.50,3.60,3.60,3.70,3.70,3.80,3.90,3.10,3.00,2.80,3.30,3.20,3.50,3.40,3.20,3.00,3.30,3.00,2.50,2.50,2.20,2.10,1.70,1.50,0.80,5.00,4.70,3.90,3.40,3.60,3.90,4.20,4.60,4.80,4.20,3.70,6.30,5.80,5.30,4.60,4.10,3.40,2.60,5.40,5.30,5.70,5.50,5.30,5.40,5.10,5.00,4.60,4.10,3.70,3.40,3.40,3.70,3.60,3.40,3.20,3.60,3.90,4.20,4.50,5.00,4.90,5.20,5.30,5.20,5.60,5.80,5.40,5.40,5.20,5.80,5.70,5.50,5.30,5.30,5.20,5.30,5.20,5.00,4.70,4.5,4.4,4,3.7,3.9,4.2,4.1,4,3.8,3.6,3.2,4,3.7,3.2,3.8,4.1,4.2,4.6,5.1,5.4,5.3,5.3,5.4,5.4,5.40,5.10,4.80,4.50,4.00,3.70,4.50,4.70,5.60,5.70,6.00,6.00,6.30,5.90,6.20,6.30,5.80,5.90,6.00,6.30
MR1,KL Sentral (MRL),5.00,5.00,4.90,4.70,4.50,4.30,4.20,4.00,3.80,3.70,3.50,3.20,2.90,2.90,3.30,3.50,3.80,3.90,4.10,4.60,4.60,4.70,4.90,5.10,4.90,5.00,5.20,5.00,5.10,5.20,5.40,4.90,4.90,5.00,5.10,5.30,5.00,4.40,4.10,4.00,3.90,3.60,3.40,3.20,3.00,2.70,2.50,2.70,2.90,3.00,3.20,3.40,3.40,3.60,3.80,3.40,3.60,4.00,4.40,4.20,4.60,4.70,4.60,4.70,4.90,5.10,4.90,5.00,4.40,4.50,4.60,4.80,5.00,0.90,1.20,1.90,2.50,2.70,2.20,2.40,2.60,2.90,3.10,3.40,9.10,8.60,8.10,7.40,6.90,6.20,5.40,5.10,5.00,5.20,5.00,4.70,4.80,4.50,4.30,4.00,3.50,3.20,2.90,2.70,3.00,3.30,3.60,3.40,3.80,4.10,4.30,4.60,5.00,4.80,5.00,5.10,5.40,5.20,5.30,4.70,5.10,5.00,5.60,5.50,5.30,5.10,5.20,5.20,5.10,4.90,4.70,4.40,4.2,4.1,3.7,3.4,3.6,3.9,3.8,3.7,3.5,3.3,3,4.1,4.4,4.2,4.8,5.1,5.2,5.2,5.2,5.4,5.4,5.1,5.2,5.3,5.60,5.90,6.30,6.60,6.30,6.00,6.80,7.00,7.90,7.80,8.00,8.30,7.90,7.90,8.10,8.20,8.10,8.20,8.30,8.60
MR2,Tun Sambanthan,4.70,4.70,4.60,4.40,4.20,4.00,3.90,3.70,3.50,3.40,3.20,2.90,2.60,2.60,3.00,3.20,3.50,3.60,3.80,4.30,4.30,4.40,4.60,4.80,4.60,4.70,4.90,4.70,4.80,4.90,5.10,4.60,4.60,4.70,4.80,5.00,4.70,4.10,3.80,3.70,3.60,3.30,3.10,2.90,2.70,2.40,2.20,2.40,2.60,2.70,2.90,3.10,3.10,3.30,3.50,3.10,3.30,3.70,4.10,3.90,4.30,4.40,4.30,4.40,4.60,4.80,4.60,4.70,4.10,4.20,4.30,4.50,4.70,1.20,0.90,1.60,2.20,2.40,2.70,2.20,2.50,2.70,3.00,3.10,8.80,8.30,7.80,7.10,6.60,5.90,5.10,4.80,4.70,4.90,4.70,4.40,4.50,4.20,4.00,3.70,3.20,2.90,2.60,2.40,2.70,3.00,3.30,3.10,3.50,3.80,4.00,4.30,4.70,4.50,4.70,4.80,5.10,4.90,5.00,4.40,4.80,4.70,5.30,5.20,5.00,4.80,4.90,4.90,4.80,4.60,4.40,4.10,3.9,3.8,3.4,3.1,3.3,3.6,3.5,3.4,3.2,3,2.7,3.8,4.1,3.9,4.5,4.8,4.9,4.9,4.9,5.1,5.1,4.8,4.9,5,5.30,5.60,6.00,6.30,6.00,5.70,6.50,6.70,7.60,7.50,7.70,8.00,7.60,7.60,7.80,7.90,7.80,7.90,8.00,8.30
MR3,Maharajalela,3.90,3.90,3.80,3.60,3.40,3.20,3.10,2.90,2.70,2.60,2.40,2.10,1.80,1.80,2.20,2.40,2.70,2.80,3.00,3.50,3.50,3.60,3.80,4.00,3.80,3.90,4.10,3.90,4.00,4.10,4.30,3.80,3.80,3.90,4.00,4.20,3.90,3.30,3.00,2.90,2.80,2.50,2.30,2.10,1.90,1.60,1.40,1.60,1.80,1.90,2.10,2.30,2.30,2.50,2.70,2.30,2.50,2.90,3.30,3.10,3.50,3.60,3.50,3.60,3.80,4.00,3.80,3.90,3.30,3.40,3.50,3.70,3.90,1.90,1.60,0.90,1.40,1.70,1.90,2.20,2.70,2.30,2.50,2.30,8.00,7.50,7.00,6.30,5.80,5.10,4.30,4.00,3.90,4.10,3.90,3.60,3.70,3.40,3.20,2.90,2.40,2.10,1.80,1.60,1.90,2.20,2.50,2.30,2.70,3.00,3.20,3.50,3.90,3.70,3.90,4.00,4.30,4.10,4.20,3.60,4.00,3.90,4.50,4.40,4.20,4.00,4.10,4.10,4.00,3.80,3.60,3.30,3.1,3,2.6,2.3,2.5,2.8,2.7,2.6,2.4,2.2,1.9,3,3.3,3.1,3.7,4,4.1,4.1,4.1,4.3,4.3,4,4.1,4.2,4.50,4.80,5.20,5.50,5.20,4.90,5.70,5.90,6.80,6.70,6.90,7.20,6.80,6.80,7.00,7.10,7.00,7.10,7.20,7.50
MR4,Hang Tuah,3.40,3.40,3.30,3.10,2.90,2.60,2.50,2.30,2.10,2.00,1.80,1.50,1.20,1.20,1.60,1.80,2.10,2.20,2.40,3.00,3.00,3.10,3.30,3.50,3.30,3.40,3.60,3.40,3.50,3.60,3.80,3.30,3.30,3.40,3.50,3.70,3.40,2.70,2.40,2.30,2.20,1.90,1.70,1.50,1.30,1.00,0.80,1.00,1.20,1.30,1.50,1.70,1.70,1.90,2.10,1.70,1.90,2.30,2.70,2.60,3.00,3.10,3.00,3.10,3.30,3.50,3.30,3.40,2.80,2.90,3.00,3.20,3.40,2.50,2.20,1.40,0.80,1.10,1.40,1.70,2.10,2.50,2.20,1.70,7.40,6.90,6.40,5.70,5.20,4.50,3.80,3.50,3.40,3.60,3.40,3.10,3.20,2.90,2.70,2.30,1.80,1.50,1.20,1.00,1.30,1.60,1.90,1.70,2.10,2.40,2.70,3.00,3.40,3.20,3.40,3.50,3.80,3.60,3.70,3.10,3.50,3.40,4.00,3.90,3.70,3.50,3.60,3.60,3.50,3.30,3.10,2.80,2.5,2.4,2,1.7,1.9,2.2,2.1,2,1.8,1.6,1.3,2.4,2.7,2.6,3.2,3.5,3.6,3.6,3.6,3.8,3.8,3.5,3.6,3.7,4.00,4.30,4.70,5.00,4.70,4.40,5.20,5.40,6.30,6.20,6.40,6.70,6.30,6.30,6.50,6.60,6.50,6.60,6.70,7.00
MR5,Imbi,3.60,3.60,3.50,3.30,3.10,2.90,2.80,2.60,2.40,2.30,2.10,1.80,1.50,1.50,1.90,2.10,2.40,2.50,2.70,3.20,3.20,3.30,3.50,3.70,3.50,3.60,3.80,3.60,3.70,3.80,4.00,3.50,3.50,3.60,3.70,3.90,3.60,3.00,2.70,2.60,2.50,2.20,2.00,1.80,1.60,1.30,1.10,1.30,1.50,1.60,1.80,2.00,2.00,2.20,2.40,2.00,2.20,2.60,3.00,2.80,3.20,3.30,3.20,3.30,3.50,3.70,3.50,3.60,3.00,3.10,3.20,3.40,3.60,2.70,2.40,1.70,1.10,0.90,1.20,1.50,1.90,2.30,2.70,2.00,7.70,7.20,6.70,6.00,5.50,4.80,4.00,3.70,3.60,3.80,3.60,3.30,3.40,3.10,2.90,2.60,2.10,1.80,1.50,1.30,1.60,1.90,2.20,2.00,2.40,2.70,2.90,3.20,3.60,3.40,3.60,3.70,4.00,3.80,3.90,3.30,3.70,3.60,4.20,4.10,3.90,3.70,3.80,3.80,3.70,3.50,3.30,3.00,2.8,2.7,2.3,2,2.2,2.5,2.4,2.3,2.1,1.9,1.6,2.7,3,2.8,3.4,3.7,3.8,3.8,3.8,4,4,3.7,3.8,3.9,4.20,4.50,4.90,5.20,4.90,4.60,5.40,5.60,6.50,6.40,6.60,6.90,6.50,6.50,6.70,6.80,6.70,6.80,6.90,7.20
MR6,Air Asia - Bukit Bintang,3.90,3.90,3.80,3.60,3.40,3.20,3.10,2.90,2.70,2.60,2.40,2.10,1.80,1.80,2.20,2.40,2.70,2.80,3.00,3.50,3.50,3.60,3.80,4.00,3.80,3.90,4.10,3.90,4.00,4.10,4.30,3.80,3.80,3.90,4.00,4.20,3.90,3.30,3.00,2.90,2.80,2.50,2.30,2.10,1.90,1.60,1.40,1.60,1.80,1.90,2.10,2.30,2.20,2.40,2.60,2.30,2.50,2.90,3.30,3.10,3.50,3.60,3.50,3.60,3.80,4.00,3.80,3.90,3.30,3.40,3.50,3.70,3.90,2.20,2.70,1.90,1.40,1.20,0.90,1.20,1.60,2.00,2.40,2.20,8.00,7.50,7.00,6.30,5.80,5.10,4.30,4.00,3.90,4.10,3.90,3.60,3.70,3.40,3.20,2.90,2.40,2.10,1.80,1.60,1.90,2.20,2.50,2.30,2.70,3.00,3.20,3.50,3.90,3.70,3.90,4.00,4.30,4.10,4.20,3.60,4.00,3.90,4.50,4.30,4.20,4.00,4.00,4.10,3.90,3.70,3.50,3.20,3,2.9,2.5,2.2,2.4,2.7,2.7,2.6,2.4,2.2,1.9,3,3.3,3.1,3.7,4,4.1,4.1,4.1,4.3,4.3,4,4.1,4.2,4.50,4.80,5.20,5.50,5.20,4.90,5.70,5.90,6.80,6.70,6.90,7.20,6.80,6.80,7.00,7.10,7.00,7.10,7.20,7.50
MR7,Raja Chulan,4.20,4.20,4.10,3.90,3.70,3.50,3.40,3.20,3.00,2.90,2.70,2.40,2.10,2.10,2.50,2.70,3.00,3.10,3.30,3.80,3.80,3.90,4.10,4.30,4.10,4.20,4.40,4.20,4.30,4.40,4.60,4.10,4.10,4.20,4.30,4.50,4.20,3.60,3.30,3.20,3.10,2.80,2.60,2.40,2.20,1.90,1.70,1.90,2.10,2.20,2.40,2.60,2.60,2.80,3.00,2.60,2.80,3.20,3.60,3.40,3.80,3.90,3.80,3.90,4.10,4.30,4.10,4.20,3.60,3.70,3.80,4.00,4.20,2.40,2.20,2.20,1.70,1.50,1.20,0.90,1.40,1.70,2.10,2.60,8.30,7.80,7.30,6.60,6.10,5.40,4.60,4.30,4.20,4.40,4.20,3.90,4.00,3.70,3.50,3.20,2.70,2.40,2.10,1.90,2.20,2.50,2.80,2.60,3.00,3.30,3.50,3.80,4.20,4.00,4.20,4.30,4.60,4.40,4.50,3.90,4.30,4.20,4.80,4.70,4.50,4.30,4.40,4.40,4.30,4.10,3.90,3.60,3.4,3.3,2.9,2.6,2.8,3.1,3,2.9,2.7,2.5,2.2,3.3,3.6,3.4,4,4.3,4.4,4.4,4.4,4.6,4.6,4.3,4.4,4.5,4.80,5.10,5.50,5.80,5.50,5.20,6.00,6.20,7.10,7.00,7.20,7.50,7.10,7.10,7.30,7.40,7.30,7.40,7.50,7.80
MR8,Bukit Nanas,4.60,4.60,4.50,4.30,4.10,3.90,3.80,3.60,3.40,3.30,3.10,2.80,2.50,2.50,2.90,3.10,3.40,3.50,3.70,4.20,4.20,4.30,4.50,4.70,4.50,4.60,4.80,4.60,4.70,4.80,5.00,4.50,4.50,4.60,4.70,4.90,4.60,4.00,3.70,3.60,3.50,3.20,3.00,2.80,2.60,2.30,2.10,2.30,2.50,2.60,2.60,2.40,2.20,2.40,2.60,3.00,3.20,3.60,4.00,3.80,4.20,4.30,4.20,4.30,4.50,4.70,4.30,4.40,4.00,4.10,4.20,4.40,4.60,2.60,2.50,2.70,2.10,1.90,1.60,1.40,0.90,1.30,1.70,2.20,8.70,8.20,7.70,7.00,6.50,5.80,5.00,4.50,4.60,4.80,4.60,4.30,4.40,4.10,3.90,3.60,3.10,2.80,2.50,2.30,2.60,2.90,3.20,3.00,3.40,3.70,3.90,4.20,4.60,4.40,4.60,4.70,5.00,4.80,4.90,4.30,4.50,4.60,4.60,4.30,4.50,4.20,4.00,4.10,3.90,3.70,3.50,3.20,3,2.9,2.5,2.2,2.4,2.7,3,3.1,3.1,2.9,2.6,3.7,4,3.8,4.4,4.4,4.5,4.7,4.4,4.5,4.7,4.7,4.8,4.9,5.20,5.50,5.90,6.20,5.90,5.60,6.40,6.60,7.50,7.40,7.60,7.90,7.50,7.50,7.70,7.80,7.70,7.80,7.90,8.20
MR9,Medan Tuanku,4.80,5.00,4.70,4.50,4.30,4.10,4.00,3.80,3.60,3.50,3.30,3.00,2.70,2.90,3.30,3.50,3.80,3.90,4.10,4.60,4.40,4.60,4.90,5.10,4.90,5.00,5.20,4.80,5.00,5.10,5.30,4.70,4.80,4.90,5.00,5.10,4.80,4.30,4.10,4.00,3.90,3.60,3.40,3.20,3.00,2.70,2.50,2.70,2.70,2.50,2.40,2.20,2.00,2.20,2.40,3.40,3.60,4.00,4.30,4.10,4.40,4.50,4.10,4.20,4.40,4.50,4.10,4.20,4.30,4.40,4.50,4.60,4.80,2.90,2.70,2.30,2.50,2.30,2.00,1.70,1.30,0.90,1.40,2.00,8.90,8.40,7.90,7.20,6.70,6.00,5.30,4.30,4.60,5.20,5.00,4.70,4.80,4.50,4.30,4.00,3.50,3.20,2.90,2.70,3.00,3.10,3.40,3.40,3.80,4.10,4.30,4.60,4.90,4.80,5.00,5.10,5.20,5.20,5.30,4.70,4.30,4.50,4.40,4.10,4.30,4.00,3.80,3.90,3.70,3.50,3.30,3.00,2.8,2.7,2.3,2,2.2,2.5,2.8,2.9,2.9,3.1,3,4.1,4.4,4.1,4.6,4.2,4.3,4.5,4.2,4.3,4.5,4.6,4.8,4.8,5.60,5.90,6.30,6.60,6.30,6.00,6.80,7.00,7.90,7.80,8.00,8.30,7.90,7.90,8.10,8.20,8.10,8.20,8.30,8.60
MR10,Chow Kit,4.20,4.40,4.10,3.90,3.70,3.50,3.40,3.20,3.00,2.90,2.70,2.40,2.10,2.40,2.70,3.00,3.20,3.30,3.50,4.00,3.80,4.00,4.30,4.50,4.30,4.40,4.60,4.20,4.40,4.50,4.70,4.10,4.20,4.30,4.40,4.50,4.20,3.70,3.50,3.40,3.30,3.10,3.00,2.90,2.70,2.40,2.20,2.30,2.10,1.90,1.80,1.60,1.40,1.60,1.80,3.10,3.10,3.40,3.70,3.50,3.80,3.90,3.50,3.60,3.80,3.90,3.50,3.60,3.70,3.80,3.90,4.00,4.20,3.10,3.00,2.50,2.20,2.70,2.40,2.10,1.70,1.40,0.90,1.40,8.30,7.80,7.30,6.60,6.10,5.40,4.70,3.70,4.00,4.60,4.60,4.30,4.40,4.10,3.90,3.60,3.10,2.70,2.40,2.30,2.60,2.50,2.80,3.00,3.50,3.60,3.90,4.20,4.30,4.40,4.60,4.50,4.60,4.70,4.80,4.30,3.70,3.90,3.80,3.50,3.70,3.40,3.20,3.30,3.10,2.90,2.70,2.40,2.2,2.1,1.7,1.4,1.6,1.9,2.2,2.3,2.3,2.5,2.7,3.5,3.8,3.5,4,3.6,3.7,3.9,3.6,3.7,3.9,4,4.2,4.2,5.20,5.50,5.90,6.20,5.70,5.40,6.20,6.40,7.30,7.40,7.60,7.70,7.50,7.50,7.70,7.80,7.50,7.60,7.70,8.00
MR11,Titiwangsa,3.70,3.90,3.60,3.40,3.20,3.00,2.90,2.60,2.40,2.30,2.10,1.80,1.50,1.80,2.10,2.40,2.60,2.70,3.00,3.50,3.30,3.50,3.80,4.00,3.80,3.90,4.10,3.70,3.90,4.00,4.20,3.60,3.70,3.80,3.90,4.00,3.70,3.20,3.00,2.90,2.80,2.60,2.40,2.30,2.10,1.90,1.70,1.70,1.50,1.30,1.20,1.00,0.80,1.00,1.20,2.50,2.60,2.90,3.20,3.00,3.30,3.40,3.00,3.10,3.30,3.40,3.00,3.10,3.20,3.30,3.40,3.50,3.70,3.40,3.10,2.30,1.70,2.00,2.20,2.60,2.20,2.00,1.40,0.80,7.80,7.30,6.80,6.10,5.60,4.90,4.20,3.20,3.50,4.10,4.10,3.80,3.90,3.60,3.40,3.10,2.50,2.10,1.80,1.70,2.00,1.90,2.20,2.40,3.00,3.10,3.40,3.70,3.80,3.90,4.10,4.00,4.10,4.20,4.30,3.80,3.20,3.40,3.30,3.00,3.20,2.90,2.70,2.70,2.50,2.30,2.10,1.80,1.6,1.5,1.1,0.8,1,1.3,1.6,1.7,1.7,1.9,2.1,3,3.3,3,3.5,3.1,3.2,3.4,3.1,3.2,3.4,3.5,3.7,3.7,4.70,5.00,5.40,5.70,5.20,4.90,5.70,5.90,6.80,6.90,7.10,7.20,7.00,7.00,7.20,7.30,7.00,7.10,7.20,7.50
