,(1)JETTY A,(249)Container Hotel,(516)Restoran Kapitan,(877)Kampung Kolam,(1195)Lebuh Carnavon,(1793)Komtar,(2288)Terminal Komtar,(2771)Jalan Gudrwara,(3164)Wisma Ong Hye Guon Thong,(3596)Apartment Sri Saujana,(3788)SJK Li Tek,(4032)Pejabat Pos Macallum,(4986)Pangsapuri Ocean View I,(5247)Jejantas Jalan Sungai Pinang,(5622)Peugeot Center,(6021)Mutiara Vista,(6141)Maybank Jelutong,(6397)Shell Jelutong,(6663)Taman Dato Syed Abbas,(6941)Masjid Jelutong,(7394)Pekan Jelutong,(7675)Pejabat Pos Jelutong,(7956)Bukit Dumbar,(9115)RECSAM ,(9526)Astaka Gelugor,(9869)BSN Gelugor,(10180)Restoran Kampung Ku,(10574)SK Sungai Gelugor,(11953)Jalan Sungai Dua,(12331)USM,(12806)Restoran Nasi Kandar Pelita,(13111)Tesco Sungai Dua,(13565)SRJK Keong Hoe,(13939)Klinik Kesihatan Sg Dua,(14165)Kampung Dua Bukit,(14404)Terminal Bas Ekspres Sg Nibong,(14688)Sungai Nibong Besar,(15016)SK Sungai Nibong,(15430)SRJK Kwang Hwa,(16543)Kompleks Bukit Jambul II,(16997)Masjid Al- Ittifaq,(17260)Sungai Nibong Kecil,(17730)SPICE,(18221)SPICE Canopy,(18914)I Avenue,(19360)Sunshine Square,(19893)Pasaraya Giant,(20203)Pangsapuri Mayang,(20613)Taman Gedung Heights I,(20960)Taman Gedung Heights II,(21154)Gedung Height III,(21265)Gedung Height IV,(21544)Astaka Bukit Gedung,(22352)Hub Pasaraya Giant
(5622)Peugeot Center,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7
(6021)Mutiara Vista,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(6141)Maybank Jelutong,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(6397)Shell Jelutong,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(6663)Taman Dato Syed Abbas,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(6941)Masjid Jelutong,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(7394)Pekan Jelutong,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(7675)Pejabat Pos Jelutong,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(7956)Bukit Dumbar,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(9115)RECSAM ,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2
(9526)Astaka Gelugor,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2
(9869)BSN Gelugor,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2
