,(1)Penang Sentral,(3404)Taman Selat,(4120)Pejabat Kesihatan SPU,(4602)Pangsapuri Capri,(5287)Jalan Siram I,(5800)Jalan Siram II,(6200)Pusat Perniagaan Raja Uda,(7315)Taman Anggerik,(7453)SJKC Kwang Hwa,(7704)Jalan Raja Uda I,(7923)Jalan Raja Uda II,(8155)Medan Selera Raja Uda,(8770)Pusat Perniagaan Ong Yi How,(9197)SMK Chung Ling,(9712)Taman Mesra Permai,(10055)Pangsapuri Mesra Jaya,(10585)Taman Mesra Indah,(10818)Bagan Lalang,(11160)Taman Industri Cengal,(12207)Pekan Sungai Puyu,(12476)Taman Seri Pinang,(12725)Pekan Maklom,(12952)Alor Merah,(13165)Masjid Alor Merah,(13521)Masjid Sungai Lokan,(13944)Petronas Sg. Lokan,(14177)Shell Sg. Lokan,(15110)Kampung Teluk Sungai Dua,(15689)Sungai Dua Utama,(15780)Masjid Sungai Dua,(16061)Taman Pengkalan Machang,(16249)Klinik Kesihatan,(16448)Desa Murni,(16859)Pusat Perniagaan Desa Murni,(17060)Taman Desa Murni,(17536)Simpang Lorong Murni 5,(17674)Simpang Lorong Murni 6,(17862)Hub Desa Murni
(11160)Taman Industri Cengal,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12207)Pekan Sungai Puyu,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12476)Taman Seri Pinang,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12725)Pekan Maklom,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12952)Alor Merah,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(13165)Masjid Alor Merah,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(13521)Masjid Sungai Lokan,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(13944)Petronas Sg. Lokan,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(14177)Shell Sg. Lokan,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(15110)Kampung Teluk Sungai Dua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(15689)Sungai Dua Utama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(15780)Masjid Sungai Dua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(16061)Taman Pengkalan Machang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(16249)Klinik Kesihatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40
(16448)Desa Murni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40
(16859)Pusat Perniagaan Desa Murni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40
(17060)Taman Desa Murni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40
(17536)Simpang Lorong Murni 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40
(17674)Simpang Lorong Murni 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40
(17862)Hub Desa Murni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
