,(1)Penang Sentral,(3404)Taman Selat,(4120)Pejabat Kesihatan SPU,(4556)Public Mutual Bagan Luar,(5107)Maktab Wan Jah,(5214)Pangsapuri Telaga Emas,(5521)SJKC Chung Hwa 1,(6126)Taman Cantik,(6307)Taman Bagan ,(6619)Astaka Mak Mandin,(6995)Kilang Professinal,(7189)Flat Mak Mandin,(7389)Pejabat Pos Mak Mandin,(7602)SJK Tamil Mak Mandin,(7908)Taman Mak Mandin,(8137)Taman Mak Mandin II,(8378)Bengkel MPSP Mak Mandin,(8732)Taman Carissa Villa,(8880)Apartmen Centro View,(9281)Taman Mesra,(9502)Pusat Perniagaan Taman Mesra,(10031)Taman Mesra Indah,(10167)Taman Cengkih,(10606)Taman Industri Cengal,(10834)BGM Building,(11654)Pekan Sungai Puyu,(11923)Taman Seri Pinang,(12171)Pekan Maklom,(12485)Pekan Maklom II,(12961)Masjid Permatang Tok Jaya,(13497)Madrasah Adiniah A-Islamiah,(14120)Surau Permatang Tok Jaya,(14644)SMK Permatang Tok Jaya,(15037)Masjid Pekan Darat,(15201)Persimpang Jalan Haji Murshid,(16373)Kampung Paya,(16868)Pejabat Agama Daerah SPU,(18890)Hub Teluk Air Tawar
(8880)Apartmen Centro View,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(9281)Taman Mesra,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(9502)Pusat Perniagaan Taman Mesra,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(10031)Taman Mesra Indah,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(10167)Taman Cengkih,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(10606)Taman Industri Cengal,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(10834)BGM Building,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11654)Pekan Sungai Puyu,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11923)Taman Seri Pinang,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12171)Pekan Maklom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12485)Pekan Maklom II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12961)Masjid Permatang Tok Jaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(13497)Madrasah Adiniah A-Islamiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(14120)Surau Permatang Tok Jaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40
(14644)SMK Permatang Tok Jaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40
(15037)Masjid Pekan Darat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40
(15201)Persimpang Jalan Haji Murshid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40
(16373)Kampung Paya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40
(16868)Pejabat Agama Daerah SPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40
(18890)Hub Teluk Air Tawar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
