,(1)Hub Desa Murni,(191)Pusat Perniagaan Desa Murni,(552)Desa Murni,(770)Klinik Kesihatan,(1141)Masjid Sungai Dua,(1542)Taman Sungai Dua,(3199)Petronas Sg.Lokan,(3584)Masjid Sg Lokan,(3919)Masjid Alor Merah,(4149)Alor Merah,(4377)Pekan Maklom,(4609)Taman Seri Pinang,(4856)Pekan Sg.Puyu,(5734)BGM Building,(6058)Taman Cengal,(6397)Bagan Lalang,(6737)Taman Dedap,(7126)Pangsapuri Mesra Jaya,(7358)Taman Dedap,(7984)Taman Perindustrian Teras Jaya,(8358)Pusat Perniagaan Ong Yi How,(8921)Medan Selera Raja Uda,(9208)Jalan Raja Uda II,(9392)Jalan Raja Uda I,(9556)SJKC Kwang Hwa,(9844)Petron Bagan Lalang,(10190)Petronas Bagan Lalang,(10705)Pusat Perniagaan Raja Uda,(10884)Pusat Perniagaan Raja Uda 2,(11376)Jalan Siram II,(11597)Taman Bagan,(11708)Jalan Siram II,(12591)Pasar Awam,(13070)Jabatan Pertanian,(13629)Taman Selat,(13917)Maybank Butterworth,(14860)Penang Sentral
(8358)Pusat Perniagaan Ong Yi How,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(8921)Medan Selera Raja Uda,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(9208)Jalan Raja Uda II,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(9392)Jalan Raja Uda I,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(9556)SJKC Kwang Hwa,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(9844)Petron Bagan Lalang,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(10190)Petronas Bagan Lalang,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(10705)Pusat Perniagaan Raja Uda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(10884)Pusat Perniagaan Raja Uda 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11376)Jalan Siram II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11597)Taman Bagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40
(11708)Jalan Siram II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40
(12591)Pasar Awam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40
(13070)Jabatan Pertanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40
(13629)Taman Selat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40
(13917)Maybank Butterworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40
(14860)Penang Sentral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
