,(1)JETTY B,(188)Container Hotel,(901)Pejabat Pos Besar P.Pinang,(1032)Pejabat Pos Besar P.Pinang 1,(1120)Balai Polis,(1571)Bank Negara Malaysia,(1813)Muzium Pulau Pinang,(2063)SMK ST. Xavier,(2496)Hotel Cititel,(2804)Penang Road,(2953)Pasar Chowrasta,(3563)Terminal Komtar,(3834)Pasaraya Gama,(4056)Penang Times Square,(4363)Pasar Jalan Kuantan,(4677)Kampung Makam,(4999)SMK/SK Convent Dato Keramat,(5390)Stadium Bandaraya,(5760)Masjid Jamek Sheikh Yusof(Hospital),(5994)Dhoby Ghaut,(6331)SMK Sri Mutiara,(6834)Han Chiang College,(7280)Masjid Negeri P.Pinang(Hentian Transit),(7990)Pasar Kampung Baru,(8158)Apartmen Rifle Court,(8324)Villa Sri Melati Apartment,(8556)PBA,(8830)SK Padang Tembak,(9109)Flat Padang Tembak,(9458)Jalan Sempadan,(9547)Pejabat Pos Padang Tembak,(9751)Nasi Kandar Salam,(9936)Jalan Kampung Melayu,(10461)SK Sri Aman,(10518)Medan Niaga Kampung Melayu,(10927)Jalan Pisang Embun,(11167)Kampung Pisang,(11450)Kampung Pisang II,(11732)Ambank Paya Terubong,(12199)Kek Lok Si Temple,(12569)Pejabat Pos Ayer Itam,(12799)Tadika St. Paul,(12979)Klinik Kesihatan Air Hitam,(13180)Jalan Bukit Bendera,(13590)Stesen Bukit Bendera
(8830)SK Padang Tembak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(9109)Flat Padang Tembak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(9458)Jalan Sempadan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(9547)Pejabat Pos Padang Tembak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(9751)Nasi Kandar Salam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(9936)Jalan Kampung Melayu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(10461)SK Sri Aman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(10518)Medan Niaga Kampung Melayu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(10927)Jalan Pisang Embun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(11167)Kampung Pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(11450)Kampung Pisang II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(11732)Ambank Paya Terubong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4
(12199)Kek Lok Si Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4
(12569)Pejabat Pos Ayer Itam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4
(12799)Tadika St. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4
(12979)Klinik Kesihatan Air Hitam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4
(13180)Jalan Bukit Bendera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
(13590)Stesen Bukit Bendera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
