,Penang Sentral,Taman Selat,Pejabat Kesihatan SPU,Public Mutual Bagan Luar,Kampung Gajah,SJKC Chung Hwa Pusat,Masjid Kubang Buaya,Taman Riang,Taman Bagan Jermal,Mahkamah Majistret,SK Bagan Jermal,Taman Bagan Ajam,Taman Molek,Tesco Bagan Ajam,Taman Meranti,Masjid Jamek Sungai Puyu,Pekan Sungai Puyu,Taman Seri Pinang,Pekan Maklom,Alor Merah,Masjid Alor Merah,Masjid Sungai Lokan,Petronas Sg. Lokan,Hadapan Stesen Minyak Shell,Sungai Dua,Taman Sungai Dua Utama,Masjid Sungai Dua,Pekan Sungai Dua,SK Sungai Dua,Masjid Al Marbawi,Taman Seri Merbau,Taman Merbau Jaya,Lorong Haji Din,Masjid Nyior Sebatang,Nyior Sebatang,SK Lahar Yooi,Lubuk Meriam,Taman Pokok Sena Indah,Pokok Sena,Taman Desa Sena,Dewan Sri Pokok Macang,Tali Air Pokok Macang,KEMAS Pokok Macang,Kg Air Melintas Besar,Taman Gelugor indah,Permatang Berangan C,Pusat Komersial Tasek Gelugor,SK Tasek Gelugor,Kompleks Tasek Gelugor,Kampung Master,Taman Kemaju,Kampung Besar,Taman Sri Desa,Kampung Selamat I,SK Kg Selamat,SMK Kampung Selamat,Balai Bomba Kampung Selamat,Pusat Serenti Kampung Selamat,Taman Selesa,Taman Lagenda,TAMAN SERAI WANGI,PUSAT PERNIAGAAN PADANG SERAI,PEKAN PADANG SERAI,KLINIK KESIHATAN PS,Stesen Bas Padang Serai
SK Bagan Jermal,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.10,1.10,1.10,1.10,1.20,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.80,1.90,1.90,2.00,2.10,2.10,2.10,2.20,2.30,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.60,2.70,2.70,2.80,2.80,2.80,3.00,3.00,3.10,3.20,3.20,3.30
Taman Bagan Ajam,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.10,1.20,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.70,1.70,1.80,1.80,1.90,2.00,2.10,2.10,2.10,2.20,2.20,2.30,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.60,2.70,2.70,2.70,2.70,2.80,2.90,3.00,3.10,3.10,3.20,3.20
Taman Molek,,,,,,,,,,,,,0,0.90,0.90,1.00,1.00,1.00,1.00,1.10,1.10,1.10,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.70,1.70,1.80,1.80,2.00,2.00,2.00,2.10,2.10,2.20,2.20,2.30,2.30,2.30,2.40,2.50,2.50,2.50,2.50,2.70,2.70,2.70,2.70,2.70,2.90,3.00,3.00,3.10,3.20,3.20
Tesco Bagan Ajam,,,,,,,,,,,,,,0,0.90,0.90,1.00,1.00,1.00,1.00,1.10,1.10,1.10,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.70,1.80,1.80,1.90,2.00,2.00,2.00,2.10,2.20,2.20,2.20,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.60,2.60,2.70,2.70,2.70,2.90,2.90,3.00,3.10,3.10,3.20
Taman Meranti,,,,,,,,,,,,,,,0,0.90,0.90,1.00,1.00,1.00,1.00,1.10,1.10,1.10,1.20,1.30,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.70,1.70,1.80,1.90,2.00,2.00,2.00,2.10,2.10,2.20,2.20,2.20,2.30,2.30,2.40,2.40,2.40,2.50,2.60,2.60,2.60,2.60,2.70,2.80,2.90,2.90,3.00,3.10,3.10
Masjid Jamek Sungai Puyu,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.70,1.80,1.80,1.90,1.90,2.00,2.00,2.00,2.10,2.10,2.20,2.20,2.30,2.30,2.40,2.50,2.50,2.50,2.50,2.50,2.70,2.70,2.80,2.90,2.90,3.00
Pekan Sungai Puyu,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,0.90,0.90,1.00,1.10,1.10,1.10,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.50,1.60,1.60,1.70,1.80,1.80,1.80,1.90,2.00,2.00,2.00,2.00,2.10,2.20,2.20,2.30,2.30,2.40,2.50,2.50,2.50,2.50,2.50,2.70,2.70,2.80,2.90,2.90,3.00
Taman Seri Pinang,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,0.90,1.00,1.10,1.10,1.10,1.10,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.50,1.50,1.60,1.70,1.80,1.80,1.80,1.90,1.90,2.00,2.00,2.00,2.10,2.10,2.20,2.20,2.20,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.70,2.70,2.80,2.90,2.90
Pekan Maklom,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.60,1.70,1.70,1.80,1.80,1.80,1.90,1.90,2.00,2.00,2.00,2.10,2.20,2.20,2.20,2.30,2.50,2.50,2.50,2.50,2.50,2.60,2.70,2.70,2.80,2.90,2.90
Alor Merah,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.20,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.50,1.50,1.60,1.70,1.70,1.80,1.80,1.90,1.90,1.90,2.00,2.00,2.10,2.10,2.20,2.20,2.30,2.40,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.80,2.80,2.90
