,(1)Stesen Bukit Bendera,(396)Pasukan Bomba & Penyelamat,(644)Klinik Kesihatan Air Itam,(1024)SRJK Kong Min Pusat,(1187)Pejabat Pos Ayer Itam,(1492)Pekan Air Itam,(2016)Kampung Pisang,(2144)Kampung Pisang II,(2523)Jalan Pisang Embun,(2948)Flat Kampung Melayu,(3151)Makam Shaikh Omar,(3508)Lorong Kampung Melayu,(3663)Restoran Nasi Kandar Salam,(3981)Pejabat Pos Padang Tembak,(4340)Flat Padang Tembak,(4805)Kuartes PBA,(4971)PBA Padang Tembak,(5298)Lorong Padang Tembak,(5789)Masjid Negeri P.Pinang,(6222)SMKA Al-Mashoor(Hentian Transit),(6657)SMK (L) Methodist,(7067)Dhoby Ghaut,(7480)Penjara P.Pinang(Hospital),(8031)Padang Brown,(8384)Kampung Makam,(8771)Pasar Jalan Kuantan,(8983)Penang Times Square,(9179)Pasaraya Gama,(9385)Komtar Utara ,(9844)Wisma MCA,(10141)Transfer Road,(10315)Pejabat Maritim,(10467)Sri Bahari,(10678)Hotel Cititel,(10866)Protestant Cemetry,(11566)Padang SMK Convent ,(11949)Dewan Sri Pinang,(12166)Padang Kota Lama,(12494)Swettenham Pier Cruise Terminal,(12724)Church Street Pier,(13170)JETTY B
(6222)SMKA Al-Mashoor(Hentian Transit),,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(6657)SMK (L) Methodist,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(7067)Dhoby Ghaut,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(7480)Penjara P.Pinang(Hospital),,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(8031)Padang Brown,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(8384)Kampung Makam,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(8771)Pasar Jalan Kuantan,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(8983)Penang Times Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(9179)Pasaraya Gama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(9385)Komtar Utara ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(9844)Wisma MCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(10141)Transfer Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(10315)Pejabat Maritim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(10467)Sri Bahari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(10678)Hotel Cititel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(10866)Protestant Cemetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4
(11566)Padang SMK Convent ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4
(11949)Dewan Sri Pinang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4
(12166)Padang Kota Lama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4
(12494)Swettenham Pier Cruise Terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4
(12724)Church Street Pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
(13170)JETTY B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
